Graph Name,Graph Type,Graph Size,Graph Seed,Trial,Trial Seed,Algorithm,Success,Path Length,Longest Path Length,Time (seconds),Generations,GBS Used
Random_n15_8,Random,15,892,4,35267926,MS-SourceResolved-GA,1,15,15,0.038899898529052734,60,True
Random_n15_8,Random,15,892,5,35267927,MS-SourceResolved-GA,1,15,15,0.0846257209777832,13,True
Random_n15_8,Random,15,892,6,35267928,MS-SourceResolved-GA,1,15,15,0.012058019638061523,19,True
Random_n15_8,Random,15,892,7,35267929,MS-SourceResolved-GA,0,14,14,0.29093194007873535,150,True
Random_n15_8,Random,15,892,8,35267930,MS-SourceResolved-GA,1,15,15,0.0643160343170166,0,True
Random_n15_8,Random,15,892,9,35267931,MS-SourceResolved-GA,1,15,15,0.010294914245605469,16,True
Random_n15_9,Random,15,992,0,35268922,SourceResolved-GA,1,15,15,0.0015189647674560547,0,True
Random_n15_9,Random,15,992,1,35268923,SourceResolved-GA,1,15,15,0.0014891624450683594,0,True
Random_n15_9,Random,15,992,2,35268924,SourceResolved-GA,1,15,15,0.01056218147277832,6,True
Random_n15_9,Random,15,992,3,35268925,SourceResolved-GA,1,15,15,0.02251148223876953,14,True
Random_n15_9,Random,15,992,4,35268926,SourceResolved-GA,1,15,15,0.0014853477478027344,0,True
Random_n15_9,Random,15,992,5,35268927,SourceResolved-GA,1,15,15,0.025408506393432617,16,True
Random_n15_9,Random,15,992,6,35268928,SourceResolved-GA,1,15,15,0.001478433609008789,0,True
Random_n15_9,Random,15,992,7,35268929,SourceResolved-GA,0,14,14,0.29283976554870605,200,True
Random_n15_9,Random,15,992,8,35268930,SourceResolved-GA,1,15,15,0.033013105392456055,21,True
Random_n15_9,Random,15,992,9,35268931,SourceResolved-GA,1,15,15,0.052347660064697266,34,True
Random_n15_9,Random,15,992,0,35268922,MS-SourceResolved-GA,1,15,15,0.01462697982788086,23,True
Random_n15_9,Random,15,992,1,35268923,MS-SourceResolved-GA,1,15,15,0.09376168251037598,20,True
Random_n15_9,Random,15,992,2,35268924,MS-SourceResolved-GA,1,15,15,0.021309614181518555,34,True
Random_n15_9,Random,15,992,3,35268925,MS-SourceResolved-GA,1,15,15,0.07139801979064941,5,True
Random_n15_9,Random,15,992,4,35268926,MS-SourceResolved-GA,1,15,15,0.01764702796936035,28,True
Random_n15_9,Random,15,992,5,35268927,MS-SourceResolved-GA,1,15,15,0.03747272491455078,60,True
Random_n15_9,Random,15,992,6,35268928,MS-SourceResolved-GA,1,15,15,0.08829355239868164,16,True
Random_n15_9,Random,15,992,7,35268929,MS-SourceResolved-GA,1,15,15,0.07798504829406738,9,True
Random_n15_9,Random,15,992,8,35268930,MS-SourceResolved-GA,1,15,15,0.08363771438598633,13,True
Random_n15_9,Random,15,992,9,35268931,MS-SourceResolved-GA,1,15,15,0.015698671340942383,25,True
Random_n15_10,Random,15,1092,0,35269922,SourceResolved-GA,0,12,12,0.29618334770202637,200,True
Random_n15_10,Random,15,1092,1,35269923,SourceResolved-GA,0,13,13,0.2949850559234619,200,True
Random_n15_10,Random,15,1092,2,35269924,SourceResolved-GA,0,8,8,0.2914283275604248,200,True
Random_n15_10,Random,15,1092,3,35269925,SourceResolved-GA,0,12,12,0.29369640350341797,200,True
Random_n15_10,Random,15,1092,4,35269926,SourceResolved-GA,0,11,11,0.29093313217163086,200,True
Random_n15_10,Random,15,1092,5,35269927,SourceResolved-GA,1,15,15,0.03719305992126465,24,True
Random_n15_10,Random,15,1092,6,35269928,SourceResolved-GA,0,15,15,0.2939169406890869,200,True
Random_n15_10,Random,15,1092,7,35269929,SourceResolved-GA,0,8,8,0.2939412593841553,200,True
Random_n15_10,Random,15,1092,8,35269930,SourceResolved-GA,0,12,12,0.29563140869140625,200,True
Random_n15_10,Random,15,1092,9,35269931,SourceResolved-GA,1,15,15,0.02378368377685547,15,True
Random_n15_10,Random,15,1092,0,35269922,MS-SourceResolved-GA,1,15,15,0.193070650100708,88,True
Random_n15_10,Random,15,1092,1,35269923,MS-SourceResolved-GA,1,15,15,0.0266726016998291,43,True
Random_n15_10,Random,15,1092,2,35269924,MS-SourceResolved-GA,0,12,12,0.2826972007751465,150,True
Random_n15_10,Random,15,1092,3,35269925,MS-SourceResolved-GA,1,15,15,0.11835527420043945,37,True
Random_n15_10,Random,15,1092,4,35269926,MS-SourceResolved-GA,0,10,10,0.2833747863769531,150,True
Random_n15_10,Random,15,1092,5,35269927,MS-SourceResolved-GA,0,13,13,0.2852640151977539,150,True
Random_n15_10,Random,15,1092,6,35269928,MS-SourceResolved-GA,1,15,15,0.06380605697631836,0,True
Random_n15_10,Random,15,1092,7,35269929,MS-SourceResolved-GA,1,15,15,0.08606553077697754,15,True
Random_n15_10,Random,15,1092,8,35269930,MS-SourceResolved-GA,1,15,15,0.017460107803344727,28,True
Random_n15_10,Random,15,1092,9,35269931,MS-SourceResolved-GA,1,15,15,0.016365528106689453,26,True
Random_n15_11,Random,15,1192,0,35270922,SourceResolved-GA,0,10,10,0.29305505752563477,200,True
Random_n15_11,Random,15,1192,1,35270923,SourceResolved-GA,0,9,9,0.29159045219421387,200,True
Random_n15_11,Random,15,1192,2,35270924,SourceResolved-GA,0,11,11,0.2962214946746826,200,True
Random_n15_11,Random,15,1192,3,35270925,SourceResolved-GA,0,15,15,0.2954399585723877,200,True
