Graph Name,Graph Size,graph_seed,sampler_rng_seed,num_shots,accepted_samples,acceptance_rate%,mean_pairs_theory,subgraph_size_distribution,code_version
Random_n20_9,20,1042,1042,500,96,19.2,2.6434,"4:3, 5:18, 6:37, 7:11, 8:13, 9:8, 10:6",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_10,20,1142,1142,500,84,16.8,2.3242,"5:26, 6:33, 7:7, 8:13, 9:2, 10:1, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_11,20,1242,1242,500,93,18.6,2.3898,"4:3, 5:14, 6:48, 7:10, 8:12, 9:3, 10:1, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_12,20,1342,1342,500,73,14.6,2.3117,"3:1, 4:2, 5:15, 6:29, 7:12, 8:7, 9:3, 10:2, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_37,20,3842,3842,500,76,15.2,2.1888,"4:3, 5:21, 6:29, 7:12, 8:6, 9:2, 10:2, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_38,20,3942,3942,500,84,16.8,2.4017,"4:2, 5:19, 6:29, 7:17, 8:5, 9:4, 10:5, 11:1, 12:1, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_39,20,4042,4042,500,82,16.4,2.3207,"4:4, 5:17, 6:33, 7:8, 8:11, 9:3, 10:3, 11:2, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_40,20,4142,4142,500,85,17.0,2.5848,"4:1, 5:12, 6:40, 7:15, 8:11, 9:3, 10:2, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_33,20,3442,3442,500,91,18.2,2.3999,"4:3, 5:16, 6:41, 7:19, 8:7, 9:3, 10:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_34,20,3542,3542,500,76,15.2,2.3216,"4:1, 5:27, 6:28, 7:9, 8:6, 9:3, 10:1, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_35,20,3642,3642,500,83,16.6,2.2605,"4:7, 5:13, 6:24, 7:16, 8:10, 9:8, 10:4, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_36,20,3742,3742,500,75,15.0,2.4225,"4:3, 5:14, 6:27, 7:15, 8:9, 9:4, 10:2, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_29,20,3042,3042,500,82,16.4,2.309,"4:2, 5:23, 6:38, 7:5, 8:8, 9:5, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_30,20,3142,3142,500,66,13.2,2.3334,"4:2, 5:21, 6:24, 7:5, 8:9, 9:3, 10:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_31,20,3242,3242,500,98,19.6,2.5398,"5:22, 6:49, 7:12, 8:10, 9:3, 11:1, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_32,20,3342,3342,500,73,14.6,2.2552,"5:15, 6:21, 7:12, 8:12, 9:5, 10:6, 12:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_25,20,2642,2642,500,75,15.0,2.2875,"5:17, 6:33, 7:8, 8:12, 9:3, 10:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_26,20,2742,2742,500,82,16.4,2.3504,"5:23, 6:29, 7:7, 8:13, 9:6, 10:1, 11:2, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_27,20,2842,2842,500,88,17.6,2.6857,"5:13, 6:41, 7:7, 8:12, 9:9, 10:3, 11:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_28,20,2942,2942,500,93,18.6,2.4901,"4:2, 5:18, 6:45, 7:11, 8:12, 9:2, 10:1, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_53,20,5442,5442,500,89,17.8,2.2138,"4:5, 5:20, 6:34, 7:10, 8:13, 9:4, 10:1, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_54,20,5542,5542,500,79,15.8,2.2395,"4:3, 5:10, 6:36, 7:11, 8:14, 9:4, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_55,20,5642,5642,500,99,19.8,2.4058,"4:5, 5:20, 6:37, 7:12, 8:19, 9:3, 10:2, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_56,20,5742,5742,500,85,17.0,2.1526,"4:2, 5:21, 6:38, 7:8, 8:11, 9:4, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_49,20,5042,5042,500,76,15.2,2.4378,"4:3, 5:16, 6:25, 7:17, 8:9, 9:4, 10:1, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_50,20,5142,5142,500,72,14.4,2.2189,"4:2, 5:26, 6:24, 7:6, 8:8, 9:2, 10:2, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_51,20,5242,5242,500,101,20.2,2.4411,"4:2, 5:20, 6:48, 7:11, 8:12, 9:1, 10:5, 11:1, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_52,20,5342,5342,500,85,17.0,2.3549,"4:3, 5:15, 6:36, 7:10, 8:10, 9:6, 10:4, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_57,20,5842,5842,500,78,15.6,2.2778,"3:2, 4:4, 5:14, 6:34, 7:8, 8:10, 9:5, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_58,20,5942,5942,500,85,17.0,2.3277,"4:1, 5:16, 6:39, 7:9, 8:8, 9:8, 10:3, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_59,20,6042,6042,500,93,18.6,2.2149,"4:1, 5:18, 6:44, 7:16, 8:8, 9:3, 10:1, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_60,20,6142,6142,500,69,13.8,2.4316,"3:1, 4:1, 5:13, 6:26, 7:9, 8:9, 9:6, 10:3, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_25,25,2692,2692,500,107,21.4,2.4196,"4:3, 5:17, 6:40, 7:14, 8:14, 9:7, 10:8, 11:2, 12:1, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_26,25,2792,2792,500,115,23.0,2.6392,"4:1, 5:19, 6:41, 7:14, 8:19, 9:5, 10:12, 11:2, 12:1, 13:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_27,25,2892,2892,500,109,21.8,2.4858,"4:2, 5:19, 6:47, 7:10, 8:17, 9:4, 10:6, 11:3, 13:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
